reaction	linear_coefficient
ECOAH6	[0.6889145258016037]
ECOAH7	[0.6889145258016037]
FACOAL160t2pp	[0.7257725138043054]
FACOAL161t2pp	[0.7257725138043054]
FACOAL180t2pp	[0.7257725138043054]
FDMO6	[0.7433294642960308]
FACOAL181t2pp	[0.7257725138043054]
FACOAL60t2pp	[0.7257725138043054]
FACOAL80t2pp	[0.7257725138043054]
FADRx	[0.7433294642960308]
FE2abcpp	[0.6021198328519421]
FADRx2	[np.float64(0.5681022767471268)]
FALDH2	[0.6140662841338834]
FALDtex	[0.46825255981593544]
FRUpts2pp	[np.float64(0.5681022767471268)]
FRUptspp	[np.float64(0.5681022767471268)]
FE2t2pp	[np.float64(0.5681022767471268)]
FRUtex	[0.46825255981593544]
FBA	[np.float64(0.5681022767471268)]
FBP	[0.5675479210226793]
FCI	[0.6090219319851301]
FCLK	[0.7409999706239685]
FCLPA	[0.3109934246255146]
FTHFD	[0.7072859484217623]
FUCtex	[0.46825255981593544]
FUCtpp	[0.46240952071220787]
FUM	[np.float64(0.5681022767471268)]
FUMt2_2pp	[0.5668362853452799]
FUMt2_3pp	[0.36960637985978856]
FCLT	[0.6163645538090758]
FE2t3pp	[0.5550910322843488]
FDH4pp_1	[0.5898302389061245]
FUMtex	[0.46825255981593544]
G1PACT	[0.5533175178461875]
G1PPpp	[0.7433294642960308]
FE2tex	[0.46825255981593544]
G1PTT	[0.7756032059349619]
G1Ptex	[0.46825255981593544]
GALCTNLt2pp	[0.5898302389061245]
GALCTNLtex	[0.46825255981593544]
GALCTNt2pp	[np.float64(0.5681022767471268)]
GALCTNtex	[0.46825255981593544]
G1SAT	[np.float64(0.5681022767471268)]
G2PPpp	[np.float64(0.5681022767471268)]
GALCTt2rpp	[np.float64(0.5681022767471268)]
FE2tpp	[0.43995570574782955]
GALCTtex	[0.46825255981593544]
GALKr	[0.7739840120395709]
GALM2pp	[0.7433294642960308]
GALS3	[np.float64(0.5681022767471268)]
GALTptspp	[0.5898302389061245]
G3PAT120	[0.6116165524656304]
G3PAT140	[0.6116165524656304]
G3PAT141	[0.6116165524656304]
G3PAT160	[0.6116165524656304]
G3PAT161	[0.6116165524656304]
G3PAT180	[0.6116165524656304]
GALTtex	[0.46825255981593544]
GALURt2rpp	[0.5416313747112771]
G3PAT181	[0.6116165524656304]
FE3DHBZSabcpp	[0.41507619184370487]
G3PCabcpp	[0.5570322699808756]
GALURtex	[0.46825255981593544]
GALUi	[np.float64(0.5681022767471268)]
GALabcpp	[0.45201435467072426]
G3PCtex	[0.46825255981593544]
GALt2pp	[np.float64(0.5681022767471268)]
G3PD2	[0.6021787760602911]
FE3DHBZStonex	[np.float64(0.5681022767471268)]
G3PD5	[0.5399735507155563]
GALtex	[0.46825255981593544]
GAM6Pt6_2pp	[0.5443879373010698]
G3PD6	[0.5898302389061245]
GAMAN6Ptex	[0.46825255981593544]
G3PD7	[0.5898302389061245]
G3PEabcpp	[0.5570322699808756]
G3PEtex	[0.46825255981593544]
GAMptspp	[np.float64(0.5681022767471268)]
GAMtex	[0.46825255981593544]
GAPD	[np.float64(0.5681022767471268)]
GARFT	[0.6889145258016037]
G3PGabcpp	[0.5570322699808756]
GART	[0.7406289397018523]
G3PGtex	[0.46825255981593544]
GCALDD	[0.6977598477185704]
FE3HOXabcpp	[0.7433294642960308]
GDPDPK	[0.6084243878913845]
G3PIabcpp	[0.5570322699808756]
G3PItex	[0.46825255981593544]
G3PSabcpp	[0.5570322699808756]
GDPMNP	[np.float64(0.5681022767471268)]
FE3HOXtonex	[0.5597253628046721]
GDPtex	[0.46825255981593544]
GF6PTA	[0.6155101942005741]
GGGABADr	[0.5790523668524474]
G3PStex	[0.46825255981593544]
G3PT	[np.float64(0.5681022767471268)]
G5SADs	[0.6163645538090758]
GGGABAH	[np.float64(0.5681022767471268)]
G5SD	[0.6023975761130154]
FE3Ri	[0.7433294642960308]
G6PDA	[0.5547506558668611]
GGPTRCO	[0.7917820538451823]
GGPTRCS	[0.558180162796001]
GHMT2r	[0.6871758442769276]
GK1	[0.558180162796001]
G6PDH2r	[np.float64(0.5681022767471268)]
G6PP	[np.float64(0.5681022767471268)]
G6Pt6_2pp	[0.5443879373010698]
G6Ptex	[0.46825255981593544]
GAL1PPpp	[0.7433294642960308]
FE3abcpp	[0.6163645538090758]
GAL1Ptex	[0.46825255981593544]
GALBDtex	[0.46825255981593544]
GLA	[0.9911204724823091]
FE3tex	[0.46825255981593544]
GALCTD	[np.float64(0.5681022767471268)]
GLBRAN2	[np.float64(0.5681022767471268)]
FECRMR3	[0.6163645538090758]
GLCATr	[np.float64(0.5681022767471268)]
FECRMabcpp	[0.7433294642960308]
GLCDpp	[np.float64(0.5681022767471268)]
GLCNt2rpp	[0.5443879373010698]
FECRMtonex	[0.5597253628046721]
GLCabcpp	[0.45201435467072426]
GLCNtex	[0.46825255981593544]
FEENTERR3	[0.6163645538090758]
GLCOAS	[0.5898302389061245]
GLCptspp	[np.float64(0.5681022767471268)]
GLCt2pp	[np.float64(0.5681022767471268)]
GLCtex_copy1	[0.46825255981593544]
GLCtex_copy2	[0.5996506042051873]
GLDBRAN2	[0.6094238020260246]
GLGC	[0.7335704354597983]
GLCP	[np.float64(0.5681022767471268)]
GLCP2	[np.float64(0.5681022767471268)]
GLCRAL	[0.7354148134513584]
GLCRD	[0.5867767908219313]
GLNS	[0.5453697056899132]
FEENTERabcpp	[0.41507619184370487]
GLNTRS	[0.5903997306006974]
GLNabcpp	[0.42389397180597427]
GLCRt2rpp	[np.float64(0.5681022767471268)]
GLCRtex	[0.46825255981593544]
GLCS1	[0.6084243878913845]
GLNtex	[0.46825255981593544]
GLTPD	[0.7433294642960308]
GLCUR1Ptex	[0.46825255981593544]
GLCURt2rpp	[0.5416313747112771]
GLU5K	[np.float64(0.5681022767471268)]
FEENTERtonex	[np.float64(0.5681022767471268)]
GLUCYS	[np.float64(0.5681022767471268)]
GLCURtex	[0.46825255981593544]
FEENTERtpp	[np.float64(0.5681022767471268)]
FEOXAMabcpp	[0.7433294642960308]
GLYCtpp	[0.37906636908773483]
GLYK	[np.float64(0.5681022767471268)]
GLUDxi	[np.float64(0.5681022767471268)]
FEOXAMtonex	[0.5597253628046721]
GLUDy	[np.float64(0.5681022767471268)]
GLUN	[0.6032232083485813]
GLUNpp	[0.4553443121815153]
GLUPRT	[0.6161149884064464]
GLUR	[np.float64(0.5681022767471268)]
GLYOX	[0.7433294642960308]
GLYTRS	[0.46825255981593544]
GLYt2pp	[0.46825255981593544]
GLYt4pp	[0.5776973377623102]
GLYtex	[0.46825255981593544]
GMHEPAT	[0.43995570574782955]
GLUSy	[np.float64(0.5681022767471268)]
GMHEPK	[0.43995570574782955]
GLUTRR	[np.float64(0.5681022767471268)]
FEROpp	[0.5705999866973576]
GLUTRS	[0.5597253628046721]
GLUabcpp	[0.4359083207107949]
GLUt2rpp	[np.float64(0.5681022767471268)]
GMHEPPA	[0.5468984670872088]
GMPR	[0.5656378289180958]
GMPS2	[0.6876897402940733]
GMPtex	[0.46825255981593544]
GLUt4pp	[0.45094368328443385]
GND	[0.7433294642960308]
FFSD	[0.7127344205193686]
GNK	[np.float64(0.5681022767471268)]
GP4GH	[0.5583313822087721]
GLUtex	[0.46825255981593544]
GLYALDtex	[0.46825255981593544]
GLYALDtpp	[0.37906636908773483]
GPDDA1	[0.7715601056426244]
FFSD1r	[0.6875023012516605]
GPDDA1pp	[np.float64(0.5681022767471268)]
GPDDA2	[0.7715601056426244]
GPDDA2pp	[np.float64(0.5681022767471268)]
GPDDA3	[0.7715601056426244]
GPDDA3pp	[np.float64(0.5681022767471268)]
GPDDA4	[0.7715601056426244]
GLYAT	[np.float64(0.5681022767471268)]
GLYBabcpp	[0.5682816195691044]
GLYBt2pp	[0.735305280761012]
GLYBtex	[0.46825255981593544]
GLYC2Ptex	[0.46825255981593544]
GPDDA4pp	[np.float64(0.5681022767471268)]
GLYC3Pabcpp	[0.5570322699808756]
FGLU	[0.7433294642960308]
GLYC3Pt6pp	[np.float64(0.5681022767471268)]
GLYC3Ptex	[0.46825255981593544]
GPDDA5	[0.7715601056426244]
GPDDA5pp	[np.float64(0.5681022767471268)]
GRTT	[0.7433294642960308]
GLYCAt2rpp	[np.float64(0.5681022767471268)]
FHL	[0.5443879373010698]
GLYCAtex	[0.46825255981593544]
GRXR	[0.00799188539386237]
GSNK	[0.46825255981593544]
FLDR	[0.002600040275321409]
GSNt2pp	[np.float64(0.5681022767471268)]
GSNtex	[0.46825255981593544]
GSPMDA	[np.float64(0.5681022767471268)]
GSPMDS	[np.float64(0.5681022767471268)]
GLYCDH	[0.5525682423664993]
GLYCDx	[0.46825255981593544]
GLYCK2	[0.5453697056899132]
GLYCL	[0.46825255981593544]
GLYCLTDx	[np.float64(0.5681022767471268)]
GLYCLTDy	[np.float64(0.5681022767471268)]
GLYCLTt2rpp	[0.5597253628046721]
GTHOXtex	[0.46825255981593544]
GTHOr	[0.5781157517541807]
GTHRDHpp	[0.7257725138043054]
GTHRDabc2pp	[0.6020653805547053]
GLYCLTt4pp	[0.7433294642960308]
FLVR	[np.float64(0.5681022767471268)]
GLYCLTtex	[0.46825255981593544]
GLYCtex	[0.46825255981593544]
GTHRDabcpp	[0.7354148134513584]
FLVRx	[0.7433294642960308]
GTHRDtex	[0.46825255981593544]
GTHS	[0.5746472577789189]
FMETTRS	[0.7433294642960308]
GTPCI	[np.float64(0.5681022767471268)]
GTPCII2	[np.float64(0.5681022767471268)]
H2tex	[0.46825255981593544]
H2tpp	[0.6163645538090758]
GTPDPDP	[0.7335704354597983]
HACD1i	[0.6889145258016037]
GTPDPK	[0.6889145258016037]
FMNAT	[0.5732104805146936]
GTPtex	[0.46825255981593544]
GUAD	[0.7433294642960308]
GUAPRT	[0.7374611925341973]
GUAt2pp	[0.5489363768809916]
GUAtex	[0.43250476162828444]
GUAtpp	[np.float64(0.5681022767471268)]
HACD2i	[0.6889145258016037]
HACD3i	[0.6889145258016037]
HACD4i	[0.6889145258016037]
HACD5i	[0.6889145258016037]
HACD6i	[0.6889145258016037]
HACD7i	[0.6889145258016037]
GUI1	[0.5417845521294173]
GUI2	[0.5417845521294173]
H2O2tex	[0.46825255981593544]
FMNRx	[0.6889145258016037]
H2Otex	[0.46825255981593544]
H2Otpp	[0.4109307028832185]
HACD8i	[0.6889145258016037]
FMNRx2	[np.float64(0.5681022767471268)]
H2Stex	[0.46825255981593544]
FORAMD	[0.7737511062509947]
HADPCOADH	[0.7715601056426244]
HBZOPT	[0.7433294642960308]
HCINNMt2rpp	[0.7433294642960308]
HCINNMtex	[0.46825255981593544]
HCO3E	[0.46240952071220787]
FORt2pp	[0.6109719452434385]
HXAtex	[0.46825255981593544]
FORtex	[0.46825255981593544]
HXCT	[0.7433294642960308]
HXPRT	[0.7374611925341973]
HYD1pp	[0.7072859484217623]
HYPOE	[0.6163645538090758]
HYXNtex	[0.46825255981593544]
HCYSMT	[0.7433294642960308]
HCYSMT2	[0.7433294642960308]
HDCAtexi	[0.46503005103018724]
HDCEAtexi	[0.46503005103018724]
CTECOAI7	[0.6889145258016037]
HEMEOS	[0.6157776749893947]
HEPT1	[np.float64(0.5681022767471268)]
HEPT2	[0.7433294642960308]
Htex	[0.46825255981593544]
ICDHyr	[0.46825255981593544]
ICHORS_copy1	[np.float64(0.5681022767471268)]
ICHORS_copy2	[0.6889145258016037]
HEPT3	[0.7433294642960308]
ICHORT	[0.7433294642960308]
FORtppi	[0.6109719452434385]
ICL	[0.7433294642960308]
IDONtex	[0.46825255981593544]
IG3PS	[0.8505742681507886]
HETZK	[np.float64(0.5681022767471268)]
HEX1	[np.float64(0.5681022767471268)]
IGPDH	[0.7433294642960308]
HEX7	[0.45374583105324073]
IGPS	[0.7433294642960308]
FRD2	[np.float64(0.5681022767471268)]
ILETA	[0.8080037106363355]
HG2abcpp	[0.5713446897947223]
ILETRS	[np.float64(0.5681022767471268)]
FRD3	[np.float64(0.5681022767471268)]
ILEabcpp	[0.37230088723661325]
ILEt2rpp	[np.float64(0.5681022767471268)]
ILEtex	[0.46825255981593544]
IMPC	[0.7208774766271615]
IMPD	[0.6889145258016037]
HG2t3pp	[0.5550910322843488]
HG2tex	[0.46825255981593544]
HHDDI	[0.938112961358253]
IMPtex	[0.46825255981593544]
FRUK	[0.7433294642960308]
INDOLEt2pp	[np.float64(0.5681022767471268)]
INDOLEt2rpp	[np.float64(0.5681022767471268)]
INDOLEtex	[0.46825255981593544]
HISDr	[np.float64(0.5681022767471268)]
HISTD	[0.806928535833669]
HISTP	[0.7433294642960308]
FRULYStex	[0.46825255981593544]
HISTRS	[0.6965632952788855]
HISabcpp	[np.float64(0.5681022767471268)]
INS2D	[0.5525682423664993]
INSH	[0.7433294642960308]
INSK	[0.46825255981593544]
FRUURtex	[0.46825255981593544]
HISt2rpp	[0.4560959196239861]
HIStex	[0.46825255981593544]
GALCTND	[0.5898302389061245]
HKNDDH	[0.7623755248798381]
HKNTDH	[0.7623755248798381]
INSTt2	[0.6163645538090758]
INSTtex	[0.46825255981593544]
HMBS	[0.7969985544070228]
HMPK1	[0.46825255981593544]
INSt2pp	[np.float64(0.5681022767471268)]
INStex	[0.43250476162828444]
HOMt2pp	[0.5588382381558124]
IPDDI	[0.3378396216297047]
ACACT9	[0.7288526928582251]
IPDPS	[0.8505742681507886]
IPMD	[0.7410882704029084]
IPPMIa	[np.float64(0.5681022767471268)]
IPPMIb	[np.float64(0.5681022767471268)]
IPPS	[np.float64(0.5681022767471268)]
ISETACabcpp	[0.6065169168989859]
ISETACtex	[0.46825255981593544]
HOMtex	[0.46825255981593544]
HOPNTAL	[0.6155731648758741]
HPA3MO	[0.7433294642960308]
HPACt2r	[0.7284719101371764]
HPPK2	[0.7433294642960308]
HPPPNDO	[0.7848257301022159]
HPPPNt2rpp	[0.7433294642960308]
IZPN	[0.5682816195691044]
ACACT12	[0.7288526928582251]
K2L4Aabcpp	[0.5903997306006974]
HPPPNtex	[0.46825255981593544]
HPYRRx	[np.float64(0.5681022767471268)]
HPYRRy	[np.float64(0.5681022767471268)]
K2L4Atex	[0.6163645538090758]
HSDy	[0.5697547486818486]
ACACT8r	[0.7288526928582251]
HSK	[0.9911204724823091]
HSST	[0.558180162796001]
HSTPT	[0.7433294642960308]
KARA1	[0.6084243878913845]
KARA2	[0.6084243878913845]
KAS14	[0.4359083207107949]
KAS15	[0.7433294642960308]
KAT1	[0.7288526928582251]
ACACT10	[0.7288526928582251]
ACACT11	[0.7288526928582251]
KDOCT2	[0.7433294642960308]
ACACT8	[0.7288526928582251]
ACACT13	[0.7288526928582251]
KDOPP	[0.8505742681507886]
KDOPS	[0.7433294642960308]
LPLIPAL1G160pp	[0.7863047282552499]
MALTTRabcpp	[0.5579600874850402]
LPLIPAL1G161pp	[0.7863047282552499]
KG6PDC	[0.7911985131043663]
LPLIPAL1G180pp	[0.7863047282552499]
LPLIPAL1G181pp	[0.7863047282552499]
MALTTRtexi	[0.5996506042051873]
MALTTTRabcpp	[0.5579600874850402]
MALTTTRtexi	[0.5996506042051873]
LPLIPAL2A120	[0.7433294642960308]
MALTabcpp	[0.5579600874850402]
Kabcpp	[np.float64(0.5681022767471268)]
MALTptspp	[np.float64(0.5681022767471268)]
MALTtexi	[0.5996506042051873]
LPLIPAL2A140	[0.7433294642960308]
LPLIPAL2A141	[0.7433294642960308]
LPLIPAL2A160	[0.7433294642960308]
LPLIPAL2A161	[0.7433294642960308]
LPLIPAL2A180	[0.7433294642960308]
MALt2_2pp	[0.5668362853452799]
MALt2_3pp	[np.float64(0.5681022767471268)]
MALtex	[0.46825255981593544]
MAN6PI	[0.7433294642960308]
MAN6Pt6_2pp	[0.5443879373010698]
LPLIPAL2A181	[0.7433294642960308]
Kt2pp	[np.float64(0.5681022767471268)]
LPLIPAL2ATE120	[0.7433294642960308]
MAN6Ptex	[0.46825255981593544]
MANAO	[0.5597253628046721]
LPLIPAL2ATE140	[0.7433294642960308]
MANGLYCtex	[0.46825255981593544]
Kt3pp	[np.float64(0.5681022767471268)]
MANptspp	[np.float64(0.5681022767471268)]
LPLIPAL2ATE141	[0.7433294642960308]
LPLIPAL2ATE160	[0.7433294642960308]
MANtex	[0.46825255981593544]
LPLIPAL2ATE161	[0.7433294642960308]
Ktex	[0.46825255981593544]
LPLIPAL2ATE180	[0.7433294642960308]
MCOATA	[0.5426589053918834]
L_LACD2	[np.float64(0.5681022767471268)]
MCPST	[np.float64(0.5681022767471268)]
MCTP1App	[0.5537459044694781]
LPLIPAL2ATE181	[0.7433294642960308]
LPLIPAL2ATG120	[0.7433294642960308]
LPLIPAL2ATG140	[0.7433294642960308]
LPLIPAL2ATG141	[0.7433294642960308]
LPLIPAL2ATG160	[0.7433294642960308]
MCTP1Bpp	[0.5537459044694781]
MCTP2App	[0.5537459044694781]
MDDCP1pp	[np.float64(0.5681022767471268)]
MDDCP2pp	[np.float64(0.5681022767471268)]
MDDCP3pp	[np.float64(0.5681022767471268)]
LPLIPAL2ATG161	[0.7433294642960308]
LPLIPAL2ATG180	[0.7433294642960308]
MDDCP4pp	[np.float64(0.5681022767471268)]
L_LACD3	[np.float64(0.5681022767471268)]
MDDCP5pp	[np.float64(0.5681022767471268)]
MDDEP1pp	[np.float64(0.5681022767471268)]
LPLIPAL2ATG181	[0.7433294642960308]
LPLIPAL2E120	[0.7433294642960308]
L_LACt2rpp	[0.5597253628046721]
LPLIPAL2E140	[0.7433294642960308]
LPLIPAL2E141	[0.7433294642960308]
MDDEP2pp	[np.float64(0.5681022767471268)]
MDDEP3pp	[np.float64(0.5681022767471268)]
MDDEP4pp	[np.float64(0.5681022767471268)]
LPLIPAL2E160	[0.7433294642960308]
L_LACtex	[0.46825255981593544]
LPLIPAL2E161	[0.7433294642960308]
MDH	[0.3422862827434019]
MDH2	[0.5741031418459732]
MDH3	[0.5741031418459732]
MDRPD	[0.6163645538090758]
ME1	[0.7433294642960308]
LPLIPAL2E180	[0.7433294642960308]
LPLIPAL2E181	[0.7433294642960308]
LPLIPAL2G120	[0.7433294642960308]
LPLIPAL2G140	[0.7433294642960308]
LPLIPAL2G141	[0.7433294642960308]
LPLIPAL2G160	[0.7433294642960308]
ME2	[0.6148780725898554]
MECDPDH2	[0.6966622076325595]
MECDPS	[0.9911204724823091]
LPLIPAL2G161	[0.7433294642960308]
LA4NTpp	[0.5898302389061245]
LPLIPAL2G180	[0.7433294642960308]
MELIBt2pp	[0.5728690820410058]
MELIBt3ipp	[0.7433294642960308]
MELIBtex	[0.46825255981593544]
MEPCT	[0.8505742681507886]
LPLIPAL2G181	[0.7433294642960308]
LSERDHr	[np.float64(0.5681022767471268)]
METAT	[0.5418684718977994]
LYSDC	[0.558180162796001]
LACZ	[0.7335704354597983]
LYSTRS	[0.46825255981593544]
LYSabcpp	[0.46825255981593544]
METDabcpp	[0.7433294642960308]
METDtex	[0.46825255981593544]
METS	[0.6084243878913845]
METSOX1tex	[0.46825255981593544]
LYSt2pp	[np.float64(0.5681022767471268)]
LYSt3pp	[np.float64(0.5681022767471268)]
LYStex	[0.46825255981593544]
LYXI	[np.float64(0.5681022767471268)]
METSOX2tex	[0.46825255981593544]
LACZpp	[0.5758205744402073]
METSOXR1	[0.3508211129561678]
LYXt2pp	[0.7433294642960308]
LYXtex	[0.46825255981593544]
M1PD	[np.float64(0.5681022767471268)]
METSOXR2	[0.3378396216297047]
MACPD	[0.4359083207107949]
LADGMDH	[0.7433294642960308]
MACPT	[0.5898302389061245]
MALDDH	[0.6101056765526688]
METTRS	[0.5733374342883716]
METabcpp	[0.7433294642960308]
METtex	[0.46825255981593544]
MALDt2_2pp	[0.5668362853452799]
MALDtex	[0.46825255981593544]
MG2t3_2pp	[0.6163645538090758]
MALS	[0.6148780725898554]
LALDO2x	[0.7433294642960308]
MALTATr	[np.float64(0.5681022767471268)]
MG2tex	[0.46825255981593544]
MG2tpp	[0.5986466592984628]
MALTHXabcpp	[0.5579600874850402]
MG2uabcpp	[0.5517473943036766]
LALGP	[0.558180162796001]
MGSA	[0.8505742681507886]
MI1PP	[0.7383260032246202]
MLTG1	[np.float64(0.5681022767471268)]
MLTG2	[np.float64(0.5681022767471268)]
MALTHXtexi	[0.5996506042051873]
MALTPTabcpp	[0.5579600874850402]
MALTPTtexi	[0.5996506042051873]
LCADi	[0.6977598477185704]
LCARR	[np.float64(0.5681022767471268)]
MLTG3	[np.float64(0.5681022767471268)]
LCARS	[np.float64(0.5681022767471268)]
MLTG4	[np.float64(0.5681022767471268)]
N2Otex	[0.46825255981593544]
MLTG5	[np.float64(0.5681022767471268)]
N2Otpp	[0.6163645538090758]
LCTSt3ipp	[np.float64(0.5681022767471268)]
NACODA	[0.6955599749102056]
MLTGY1pp	[0.4109307028832185]
LCTStex	[0.46825255981593544]
MLTGY2pp	[0.4109307028832185]
MLTGY3pp	[0.4109307028832185]
NACtex	[0.46825255981593544]
NACtpp	[0.6163645538090758]
NADDP	[0.7335704354597983]
MLTGY4pp	[0.4109307028832185]
LCTStpp	[np.float64(0.5681022767471268)]
MLTP1	[np.float64(0.5681022767471268)]
MLTP2	[np.float64(0.5681022767471268)]
NADH10	[np.float64(0.5681022767471268)]
NADH16pp	[np.float64(0.5681022767471268)]
NADH17pp	[np.float64(0.5681022767471268)]
NADH18pp	[np.float64(0.5681022767471268)]
NADH5	[np.float64(0.5681022767471268)]
NADH9	[np.float64(0.5681022767471268)]
MLTP3	[np.float64(0.5681022767471268)]
MMETt2pp	[0.5845431378369166]
MMETtex	[0.46825255981593544]
NADHNQR	[0.5793959595416787]
LDH_D	[0.5898302389061245]
NADK	[np.float64(0.5681022767471268)]
NADN	[0.6163645538090758]
NADPHQR2	[0.46825255981593544]
MMSAD2	[0.7383260032246202]
LDH_D2	[0.6092352480049612]
MMSAD3	[0.6148780725898554]
NADPHQR3	[0.46825255981593544]
NADPHQR4	[0.46825255981593544]
MN2t3pp	[0.5550910322843488]
LEUTAi	[0.5453697056899132]
MN2tpp	[0.43995570574782955]
LEUTRS	[0.5898302389061245]
MN6PP	[np.float64(0.5681022767471268)]
MNLptspp	[0.5463788896098462]
NADS1	[0.46825255981593544]
MNLtex	[0.46825255981593544]
LEUabcpp	[0.37230088723661325]
MNNH	[0.45282824639403146]
MNt2pp	[np.float64(0.5681022767471268)]
MNtex	[0.46825255981593544]
MOAT	[0.7433294642960308]
MOAT2	[0.7433294642960308]
NADTRHD	[0.5696026557056065]
NAMNPP	[0.6084243878913845]
NAt3_1p5pp	[np.float64(0.5681022767471268)]
NAt3_2pp	[0.7433294642960308]
NAt3pp	[0.6115553681428401]
MOBDabcpp	[0.5758205744402073]
MOBDtex	[0.46825255981593544]
NAtex	[0.46825255981593544]
LEUt2rpp	[np.float64(0.5681022767471268)]
NDPK1	[0.384895010021628]
NDPK2	[0.384895010021628]
NDPK3	[0.384895010021628]
MOHMT	[0.6094238020260246]
MPTG	[0.5537459044694781]
MPTG2	[0.5537459044694781]
NDPK4	[0.384895010021628]
MSO3abcpp	[0.6065169168989859]
NDPK5	[0.384895010021628]
LEUtex	[0.46825255981593544]
NDPK6	[0.384895010021628]
NDPK7	[0.384895010021628]
MSO3tex	[0.46825255981593544]
MTAN	[0.7433294642960308]
MTHFC	[0.6149684806806907]
NDPK8	[0.384895010021628]
NH4tex	[0.46825255981593544]
NH4tpp	[0.7433294642960308]
NHFRBO	[np.float64(0.5681022767471268)]
MTHFD	[0.6149684806806907]
MTHFR2	[0.5535609647529455]
MTRI	[0.5878492213685749]
MTRK	[np.float64(0.5681022767471268)]
NI2abcpp	[0.5713446897947223]
NI2t3pp	[0.5550910322843488]
LGTHL	[0.7343852455218989]
NI2tex	[0.46825255981593544]
NI2tpp	[0.5986466592984628]
NI2uabcpp	[0.5517473943036766]
MTRPOX	[0.7623755248798381]
MUCCYCI	[0.7433294642960308]
MUCLI	[0.938112961358253]
NMNAT	[0.5764799033269853]
NMNN	[0.6163645538090758]
LIPACabcpp	[0.5903997306006974]
NMNPtpp	[0.7433294642960308]
LIPAHT2ex	[0.41342628723743136]
NMNt7pp	[0.6163645538090758]
LIPAHTex	[0.41342628723743136]
NMNtex	[0.46825255981593544]
NNATr	[0.7127344205193686]
NNDMBRT	[np.float64(0.5681022767471268)]
NNDPR	[0.46825255981593544]
NNAM	[0.7848257301022159]
NO2t2rpp	[0.46240952071220787]
LIPAabcpp	[0.5903997306006974]
NO2tex	[0.46825255981593544]
NO3R1pp	[np.float64(0.5681022767471268)]
NO3R2pp	[np.float64(0.5681022767471268)]
NO3t7pp	[0.46240952071220787]
NO3tex	[0.46825255981593544]
NODOx	[np.float64(0.5681022767471268)]
NTPTP1	[0.5873995618322739]
NTPTP2	[0.5873995618322739]
LPADSS	[0.7627833609344082]
NTRIR2x	[0.6871758442769276]
NODOy	[np.float64(0.5681022767471268)]
NOtex	[0.46825255981593544]
NOtpp	[0.6163645538090758]
O2Stex	[0.46825255981593544]
O2tex	[0.46825255981593544]
NPHS	[0.7715601056426244]
LPLIPAL1A120pp	[0.7863047282552499]
NTD1	[0.7097020143925501]
O2tpp	[0.6163645538090758]
OAADC	[0.8275523434120884]
NTD10	[0.8858823042399404]
LPLIPAL1A140pp	[0.7863047282552499]
NTD10pp	[np.float64(0.5681022767471268)]
NTD11	[0.8858823042399404]
OBTFL	[np.float64(0.5681022767471268)]
OCBT	[0.5556930616965627]
NTD11pp	[np.float64(0.5681022767471268)]
OCDCAtexi	[0.46503005103018724]
LPLIPAL1A141pp	[0.7863047282552499]
OCDCEAtexi	[0.46503005103018724]
OCTAtex	[0.46825255981593544]
OCTDPS	[0.4255851383804789]
NTD12	[0.7097020143925501]
NTD12pp	[np.float64(0.5681022767471268)]
NTD1pp	[np.float64(0.5681022767471268)]
NTD2	[0.8505742681507886]
NTD2pp	[np.float64(0.5681022767471268)]
NTD3	[0.7097020143925501]
CTECOAI8	[0.6889145258016037]
OHEDH	[0.777045059546572]
OHPBAT	[0.5743491612611994]
NTD3pp	[np.float64(0.5681022767471268)]
LPLIPAL1A160pp	[0.7863047282552499]
NTD4	[0.8858823042399404]
OHPHM	[np.float64(0.5681022767471268)]
OMBZLM	[0.8536951980889576]
OMCDC	[0.7410882704029084]
OMMBLHX	[np.float64(0.5681022767471268)]
NTD4pp	[np.float64(0.5681022767471268)]
NTD5	[0.7097020143925501]
LPLIPAL1A161pp	[0.7863047282552499]
NTD5pp	[np.float64(0.5681022767471268)]
NTD6	[0.7097020143925501]
OMPDC	[0.6163645538090758]
OMPHHX	[0.6013112435551823]
OP4ENH	[0.8566946802076806]
NTD6pp	[np.float64(0.5681022767471268)]
OPHBDC	[0.4270320223239479]
NTD7	[0.8858823042399404]
LPLIPAL1A180pp	[0.7863047282552499]
NTD7pp	[np.float64(0.5681022767471268)]
NTD8	[0.7097020143925501]
NTD8pp	[np.float64(0.5681022767471268)]
NTD9	[0.8858823042399404]
NTD9pp	[np.float64(0.5681022767471268)]
OPHHX	[0.7433294642960308]
OPHHX3	[0.6163645538090758]
OPTCCL	[0.41773732830543636]
ORNDC	[np.float64(0.5681022767471268)]
ORNabcpp	[0.46825255981593544]
ORNtex	[0.46825255981593544]
NTP1	[np.float64(0.5681022767471268)]
NTP10	[np.float64(0.5681022767471268)]
OROTt2_2pp	[0.5668362853452799]
LPLIPAL1A181pp	[0.7863047282552499]
OROTtex	[0.46825255981593544]
ORPT	[0.7433294642960308]
NTP11	[0.8566946802076806]
NTP12	[0.8566946802076806]
LPLIPAL1E120pp	[0.7863047282552499]
NTP3	[np.float64(0.5681022767471268)]
OXGDC2	[0.5898302389061245]
NTP5	[np.float64(0.5681022767471268)]
LPLIPAL1E140pp	[0.7863047282552499]
NTPP1	[0.6084243878913845]
