gene_id	transcript_abund
KPN_00001	0.7321819612302072
KPN_00002	0.043768129623898325
KPN_00003	0.04370720464840248
KPN_00004	0.04735382064459309
KPN_00005	0.013702955689374663
KPN_00006	0.05056284424916541
KPN_00007	0.01627114521553946
KPN_00008	0.33629278327143247
KPN_00009	0.11299599629829145
KPN_00010	0.02174202302714113
KPN_00011	0.009882737739609604
KPN_00012	0.007708535436895492
KPN_00013	0.005929642643765763
KPN_00014	0.5699045429841538
KPN_00015	0.20087056627889044
KPN_00016	0.2764171798078686
KPN_00017	0.05850316320772241
KPN_00018	0.8315845610894081
KPN_00019	0.0
KPN_00020	0.12853873909888403
KPN_00021	0.13198754942163335
KPN_00022	0.10598792390204072
KPN_00023	0.09447897279066782
KPN_00024	0.10231907022523255
KPN_00025	0.09098599204204513
KPN_00026	0.03854267718447746
KPN_00027	0.02142322503554082
KPN_00028	0.0002491446488977211
KPN_00029	0.0
KPN_00030	0.0015029048175443178
KPN_00031	0.0008053843998323617
KPN_00032	0.0
KPN_00033	0.0
KPN_00034	0.0
KPN_00035	0.0
KPN_00036	0.0
KPN_00037	0.0
KPN_00038	0.0
KPN_00039	0.11199233825360518
KPN_00040	0.025337120990580747
KPN_00041	0.017347652199668207
KPN_00042	0.08286295489364975
KPN_00043	0.030953480467456496
KPN_00044	0.022450656633550434
KPN_00045	0.03668966385830065
KPN_00046	0.0718681069544755
KPN_00047	0.06670847974236482
KPN_00048	0.10344413079270198
KPN_00049	0.06684324434790495
KPN_00050	0.21230608626629863
KPN_00051	0.14449244143429213
KPN_00052	0.06724558505430013
KPN_00053	0.17572610495795105
KPN_00054	0.12242195790357728
KPN_00055	0.00944833168512127
KPN_00056	0.0672026166293453
KPN_00057	0.014419812792794012
KPN_00058	0.0138909069157361
KPN_00059	0.016559243769803878
KPN_00060	0.009201169619636528
KPN_00061	0.009113422825747779
KPN_00062	0.005305469733895682
KPN_00063	0.03742824080107467
KPN_00064	0.019340826591970357
KPN_00065	0.01723144016137059
KPN_00066	0.02484487141242638
KPN_00067	0.09102363021756285
KPN_00068	0.04490200407779146
KPN_00069	0.2139322051868432
KPN_00070	0.023343276736850025
KPN_00071	0.020525686074573793
KPN_00072	0.03093726596747354
KPN_00073	0.1024947996041543
KPN_00074	0.008397892906811116
KPN_00075	0.004323697761079202
KPN_00076	0.007652562408989738
KPN_00077	0.03023530654989473
KPN_00078	0.021775882514043433
KPN_00079	0.029240957542746
KPN_00080	0.032194338399835105
KPN_00081	0.010351749022167348
KPN_00082	0.058265184238741836
KPN_00083	0.04826873737455667
KPN_00084	0.14815256396513263
KPN_00085	0.1201430862462344
KPN_00086	0.10631811491847529
KPN_00087	0.04617344681620881
KPN_00088	0.06478310766151558
KPN_00089	0.042439982631791245
KPN_00090	0.03305154012253543
KPN_00091	0.024309892279150494
KPN_00092	0.02755460362934432
KPN_00093	0.020718869002334488
KPN_00094	0.024250079159378185
KPN_00095	0.023140068853720053
KPN_00096	0.02675099368604424
KPN_00097	0.019587086711356217
KPN_00098	0.05373298500229545
KPN_00099	0.2889156611063995
KPN_00100	2.9231588000394293
KPN_00101	0.11900751320005411
KPN_00102	0.12464082541662845
KPN_00103	0.032364080078568856
KPN_00104	0.03968299307750934
KPN_00105	0.05893777869710727
KPN_00106	0.04927046061486527
KPN_00107	0.16008331217867625
KPN_00108	0.004351354676395273
KPN_00109	0.003465375571031939
KPN_00110	0.007823834043857603
KPN_00111	0.10098300811111156
KPN_00112	0.09887994515003014
KPN_00113	0.07334031690973443
KPN_00114	0.017115530028535244
KPN_00115	0.01534654208463606
KPN_00116	0.04443988195820074
KPN_00117	0.1291977906805117
KPN_00118	0.24983961657263062
KPN_00119	0.21189339115636896
KPN_00120	1.1218259709094953
KPN_00121	0.022158138300387847
KPN_00122	0.012343808616399546
KPN_00123	0.029482271726932383
KPN_00124	0.8690893487561615
KPN_00125	0.08085876332407857
KPN_00126	0.05544894838635923
KPN_00127	0.08687856208026143
KPN_00128	0.008546137963350929
KPN_00129	0.01904410776099953
