gene_id,SRR8603247,SRR8603248,SRR1720519,SRR1720518,SRR1720517,SRR1720516,SRR1720515,SRR1720514,SRR1720513,SRR1720512,SRR1720511,SRR1720510,SRR1720509,SRR1720508,SRR1720507,SRR1720506,SRR1720505,SRR1720504,SRR1720503,SRR1720502,SRR1720501,SRR1720500,SRR1720499,SRR1720498,SRR1720497,SRR1720496,SRR1720495,SRR1720494,SRR1720493,SRR1720492,SRR1720491,SRR1720490,SRR1720489,SRR1720488,SRR1720487,SRR1720486,SRR1720485,SRR1720484,SRR1720483,average,stdev
KPN_00765,0.1449057934339485,0.11918177705248131,0.0,0.0,0.0003454668336274686,0.00015664825079430536,0.0,2.6025198175985546e-05,0.0001647645067906614,2.7442719937024756e-05,6.13505527302018e-05,5.0445914167734854e-05,6.847765197468038e-05,0.00019205891882049275,0.0,0.00017694656749634726,0.00013996560615175575,0.00014115355367362082,0.0,4.401568189480211e-05,0.0,0.0,5.21587084510318e-05,7.864085904050001e-05,0.00015247724755862075,0.0001963546631981238,0.00010866596182529692,9.058506636469701e-05,3.330560286650292e-05,0.00010895014272598303,6.23760617223623e-05,7.987079159719007e-05,6.220095732003838e-05,0.00012403257438818995,5.4990051113087464e-05,0.0,0.0,0.00022717108931706955,0.0,0.006849079800516764,0.029635052169145543
KPN_00766,0.05336811882445209,0.036011528861410125,0.0,0.0,0.0012893315755025168,0.0002733352131206757,0.0,0.0,0.0,0.00011173107402931507,0.0,0.0,0.0,0.00011584506214569403,0.0,0.00024014177017361415,0.00021369748796384137,0.0001915655371284854,0.0,0.00011947113657160573,0.0,0.0,0.0,0.0,0.0004138668148019706,5.921807302800558e-05,0.0001474752339057601,3.073421894516506e-05,0.0,3.696522699631567e-05,8.465322662320598e-05,0.0,4.22077924671689e-05,0.00013466393790717766,0.0,0.0,0.0,0.0005652233055627088,0.0,0.0023961480608393694,0.01016123895706315
KPN_00767,0.0,0.0,0.0007551874076639071,0.00025967115638726935,0.024606879489167694,0.0006130619250355207,0.00010268399367604076,0.002067611209507019,0.0009027562279041821,0.0006014423085733052,0.0005042159380198445,0.001174685903631463,0.0010005168871463379,0.00046769076252308096,0.0016663127792631276,0.0005288195936846438,0.0005751609908608195,0.00025779672283337255,0.00015825379683226252,0.0009646599678525932,0.0,0.0,0.0,0.00021543937662723027,0.0006961945644343227,0.0003586136329416896,0.0,0.0011167242716261833,0.0,0.0002238545374381535,0.0005126441909926241,0.00021880881977090673,0.00017040169237908187,0.0003397915642541576,0.0003012943265638001,0.00034102538188490424,0.00011320998937962657,0.0007260669777164944,0.00019937146929567567,0.0010959191757914707,0.003891947651839893
KPN_00768,0.20098894327348912,0.16252728361004842,0.5863694247360747,0.6290249263210659,0.705086452448096,1.1787129137090313,0.45728537000467423,0.8905385260697541,0.3443016942310059,0.6832570329691212,0.8395379510637258,0.5279025236735737,0.8029172932618464,0.6809896594141167,0.6364260001701328,0.9832910501715226,0.7475001907468899,0.6772607490834265,0.544393061102983,0.811222344778669,0.465603945530065,0.3039591354534796,0.5594736325823644,0.45387540464205045,0.5900207328328031,0.3726593335652391,0.35839830878276047,0.4401223416967089,0.30511859898405314,0.4581496742851091,0.3907414191086111,0.49686601179571654,0.5110845739484118,0.2842457966329929,0.21956223860435414,0.32434321728765264,0.3610293623465147,0.3880842459380275,0.5440080889238869,0.5363302424046168,0.2241909692690735
KPN_00769,0.12691377298527237,0.14380196948725804,0.4768900595482193,1.7697887663574343,0.7223538757733554,2.702070434594057,0.42324875279068636,2.8699971379491545,0.8616324575937612,1.7124351330028946,1.671007634021909,1.2814638651405517,0.9510984994705028,1.174680514663552,2.2428041020697806,2.0920103126164507,1.214219628944415,0.23991667869971509,0.47099721090070584,0.682204084051183,0.07274877431266863,0.34249034617412,0.5020767470520063,0.5419377519057977,0.2352143064124533,0.129604674629093,0.4242567529000907,0.3174598943283989,0.24325080109579075,0.2516444793001186,0.2960154028560267,0.4068176932921563,0.32187662535462996,0.20914656196363762,0.21561913270305097,0.37847321667664663,0.3776200060035573,0.23702382399087846,0.6588942243837372,0.7690181052819414,0.7426414344721215
KPN_00770,0.20605253372608875,0.23673388352522745,0.027434135654273318,0.02783443480211527,0.025581173761602963,0.022801323263605584,0.0041870283628247665,0.009514453484889612,0.00989983751361878,0.023270243630737635,0.025180611559875138,0.007940447817143714,0.010006067324127843,0.02271844837277617,0.008178605746878169,0.02518414671791991,0.018596321117343835,0.01592709638194687,0.01623010922110187,0.015719037155758942,0.004712442520740759,0.008393848736839273,0.007768649932281265,0.010448500227086432,0.016430591832468654,0.015693640186804064,0.009333953345952066,0.029666999687310534,0.005806181060638313,0.010695272344267334,0.00834028887357253,0.01185109646929686,0.007474660443007716,0.007137575674419229,0.008516110113974653,0.011517772955231535,0.0067145235080330245,0.02287736899615334,0.0147809882408863,0.025055138571508224,0.04695866740491006
KPN_00771,0.17351492400330207,0.19108553922409086,0.008371960402149096,0.013666547058819567,0.01927495762269352,0.014794110230056385,0.004829356577576292,0.007345069993543253,0.0077712853017337545,0.009344674931055945,0.009127971690454739,0.00491341890298056,0.007422454380880548,0.00831399496789891,0.004612976711689807,0.016037877217323995,0.01280070213058406,0.017465056626328614,0.017809733932568295,0.011612345576558885,0.007979374301155612,0.012114733072729828,0.006960335148844328,0.009288017916832805,0.01535797957115403,0.011545211034483433,0.007250481616944908,0.03445818180735422,0.007203117219948441,0.012241073425274723,0.008180279375800271,0.00898407740899643,0.00863435137881767,0.0066206262597646014,0.005145149860526352,0.00865588729714809,0.008176768373551935,0.03025684245123256,0.016744088241629013,0.020151577775499446,0.03875468532125209
KPN_00772,0.1700062718355726,0.19127331788231275,0.017895849829559888,0.020129474909533665,0.015814882667058612,0.0108014836018436,0.005946256481927747,0.005314584093995168,0.005283322623192813,0.00972604592839711,0.01138940490369563,0.004001416165918063,0.006356256549340318,0.009687999731562461,0.00655835457931882,0.011809420367563588,0.009123882623648173,0.01246694610206374,0.02213059184641425,0.009656964936060164,0.0053172213753856674,0.012213704637647312,0.008714688964149328,0.008095952505633596,0.011408414653294818,0.006333109907442063,0.00577688803073251,0.021288334152912064,0.003990851020843225,0.00592990028256656,0.005684621831350875,0.004717869251507373,0.005248762730874298,0.003558562084094401,0.0032481945664650375,0.006162559909515175,0.004533265334040921,0.01993637857765962,0.009027414451418095,0.018116908254525946,0.038702345927993
KPN_00773,0.22462614687658827,0.22660922066382072,0.039753154247086794,0.05953478304516089,0.04156633503452978,0.05808897372880814,0.009377865617139299,0.03893254491383296,0.016102814352826258,0.060840591052360095,0.04492950722045562,0.026031430982608735,0.023160932955400847,0.028957335689182576,0.031175778178396424,0.04223082037914498,0.037055326521572736,0.032372880504473955,0.050434644764795165,0.02493105352020216,0.010820839137052606,0.031722200417978214,0.014771684726425397,0.01537150419519508,0.033821912335306376,0.013760079145985331,0.01708668071420808,0.06051576776444281,0.012846531031322092,0.015380369521623378,0.017936245748274383,0.016930251748055705,0.014697774292520217,0.007887374097687215,0.00730905374064617,0.014851538017386834,0.014718968383206611,0.04072002685604705,0.02231754817432936,0.0384661151357969,0.04676569448207029
KPN_00774,0.22100056191936432,0.24709460508958586,0.004695696854578225,0.004851425813834116,0.006734316560808367,0.011409069938924786,0.0033272960068957405,0.004058552799053387,0.00212474066368996,0.005365973957217792,0.0056300690024313595,0.002178523755626578,0.0038334468308432756,0.006834976635091004,0.0030807366839963233,0.006657364793204082,0.005204953162372522,0.009651625778990777,0.005370476353803614,0.005491292485026473,0.003603662229924384,0.002820363567426782,0.002002214535407428,0.003584805920660838,0.0029875396074605255,0.004030447178105683,0.0030633399401320716,0.009589702262397509,0.0015581731231088364,0.003038677173167603,0.002244775989071572,0.004183808831532646,0.0036934827110883476,0.002648436489614381,0.0024737123298580843,0.001692393443026918,0.0027760657273537756,0.002861384117884759,0.005456322033932062,0.016125769546063918,0.05146335060620672
